x,rain,basin
0,7.673994149738852,RNE
50,6.851089661567838,RNE
100,5.2310083611894065,RNE
150,3.739047176310743,RNE
200,2.735594503277669,RNE
250,2.072633836606714,RNE
300,1.6324976793033528,RNE
350,1.324729566109773,RNE
400,1.1113324500043231,RNE
450,0.9449041619523215,RNE
500,0.8177811051803596,RNE
550,0.726086370918357,RNE
600,0.6550060154784572,RNE
650,0.599936353366688,RNE
700,0.5599588262226143,RNE
750,0.5406420357595275,RNE
800,0.5156730954327997,RNE
850,0.4987998464332912,RNE
900,0.4765066147041425,RNE
950,0.4404533347922296,RNE
1000,0.4172871884552845,RNE
1050,0.40079981474985865,RNE
1100,0.37840542141703326,RNE
1150,0.33173411807174635,RNE
1200,0.2842541951315415,RNE
1250,0.2338946809831876,RNE
1300,0.19153653193596765,RNE
1350,0.1569147028583629,RNE
1400,0.12952079540301803,RNE
1450,0.10062020221930258,RNE
1500,0.08309854289204044,RNE
1550,0.060958513424294744,RNE
1600,0.046638125815924206,RNE
1650,0.04062332515267929,RNE
1700,0.0317877307022353,RNE
1750,0.02373626117717805,RNE
1800,0.016598533120343626,RNE
1850,0.012681013090348097,RNE
1900,0.01013826628946705,RNE
1950,0.007612854873091972,RNE
0,7.963040281071508,RNW
50,7.6105944848741025,RNW
100,5.937726651722234,RNW
150,4.161326840313233,RNW
200,2.8893027023100455,RNW
250,2.000213027860837,RNW
300,1.3636259868192573,RNW
350,0.9443099554617864,RNW
400,0.6610679398079811,RNW
450,0.48522854879512467,RNW
500,0.3698666473434453,RNW
550,0.3031344281167145,RNW
600,0.2559509996814031,RNW
650,0.22609377460201585,RNW
700,0.1977576947619016,RNW
750,0.18029547799156193,RNW
800,0.157266214422286,RNW
850,0.1441596202034386,RNW
900,0.12691115457786004,RNW
950,0.11383816895253075,RNW
1000,0.09974938474451576,RNW
1050,0.08649727253704302,RNW
1100,0.07359875337388978,RNW
1150,0.060994580536933955,RNW
1200,0.050599409296939256,RNW
1250,0.0417647628490216,RNW
1300,0.031269103141838096,RNW
1350,0.023034968595548298,RNW
1400,0.020728203507348417,RNW
1450,0.016763055535071146,RNW
1500,0.012665052567025239,RNW
1550,0.008185693963676181,RNW
1600,0.007023044212584544,RNW
1650,0.005655444036698635,RNW
1700,0.0046192319683919,RNW
1750,0.003359878914348854,RNW
1800,0.0023622216525798273,RNW
1850,0.00213588503298365,RNW
1900,0.0016766432252324135,RNW
1950,0.0012446728370078442,RNW
0,9.026579662581225,RSW
50,9.237994072991164,RSW
100,7.680641246672942,RSW
150,5.614064308558536,RSW
200,3.979827332805558,RSW
250,2.8919102861941943,RSW
300,2.230127092368147,RSW
350,1.8246212153295311,RSW
400,1.5995193676298487,RSW
450,1.4554008874453577,RSW
500,1.378285581742097,RSW
550,1.3143292742181854,RSW
600,1.2519003249825578,RSW
650,1.1943142898642505,RSW
700,1.150786584487487,RSW
750,1.10388020598318,RSW
800,1.079745437029554,RSW
850,1.045765570558002,RSW
900,1.0328055569437855,RSW
950,1.0122037755281958,RSW
1000,0.977019991913549,RSW
1050,0.9387511059196849,RSW
1100,0.8774963791984183,RSW
1150,0.813176752354123,RSW
1200,0.7406496122014233,RSW
1250,0.6429941577177453,RSW
1300,0.542636904578998,RSW
1350,0.4315819695292806,RSW
1400,0.3421486914093045,RSW
1450,0.2710290530194192,RSW
1500,0.20390191355909276,RSW
1550,0.13439854789552874,RSW
1600,0.10737137172111491,RSW
1650,0.08776084722787642,RSW
1700,0.06785473463367098,RSW
1750,0.04507899993392277,RSW
1800,0.032168966703001005,RSW
1850,0.02199999817539118,RSW
1900,0.016861188556749767,RSW
1950,0.01321924699595787,RSW
0,8.213200978481893,RSE
50,7.317804711316945,RSE
100,5.605904046850381,RSE
150,4.028995334891012,RSE
200,2.951034187772234,RSE
250,2.3374440057330657,RSE
300,1.960751647144301,RSE
350,1.694365857525466,RSE
400,1.4886236007369846,RSE
450,1.3565877119057244,RSE
500,1.2594393618030073,RSE
550,1.189368902990686,RSE
600,1.1207590142806576,RSE
650,1.069861997587324,RSE
700,1.0317189531607225,RSE
750,0.9951546518798218,RSE
800,0.962357797496518,RSE
850,0.930204263803267,RSE
900,0.9054391233261885,RSE
950,0.8754211087435593,RSE
1000,0.8424319846107465,RSE
1050,0.8370075611842169,RSE
1100,0.7979191433313086,RSE
1150,0.7574635472629954,RSE
1200,0.6855071658465197,RSE
1250,0.6028636418844521,RSE
1300,0.5448302678981922,RSE
1350,0.48001643001395394,RSE
1400,0.3765189649351601,RSE
1450,0.30348056130491086,RSE
1500,0.24622893078442665,RSE
1550,0.17164602743122104,RSE
1600,0.13402437311276957,RSE
1650,0.10354350139504205,RSE
1700,0.08528155658055293,RSE
1750,0.05785526488420609,RSE
1800,0.04405282872564383,RSE
1850,0.037447285650361976,RSE
1900,0.03195719660777623,RSE
1950,0.024497854267630202,RSE
