x,rain,basin
0,3.645491857413014,TD
50,3.768875342171094,TD
100,3.632731792904421,TD
150,3.1813079407807607,TD
200,2.621475287974357,TD
250,2.1177959357019613,TD
300,1.7347733980258884,TD
350,1.4476245576753028,TD
400,1.2541573708874805,TD
450,1.1122793926103607,TD
500,1.0109986042837273,TD
550,0.9364994389209609,TD
600,0.8726517418824822,TD
650,0.8158329217790341,TD
700,0.7639585639795916,TD
750,0.7227829930314618,TD
800,0.6866299440344744,TD
850,0.6604577958071908,TD
900,0.6410536630857612,TD
950,0.605163715657237,TD
1000,0.5654681763690735,TD
1050,0.5427635968855152,TD
1100,0.49125521476684525,TD
1150,0.4178309669046604,TD
1200,0.3342631774143559,TD
1250,0.2525506689540236,TD
1300,0.2035729078024974,TD
1350,0.16596843999919683,TD
1400,0.1253746445346924,TD
1450,0.08957992063588395,TD
1500,0.06910049179166747,TD
1550,0.043940878345331294,TD
1600,0.03430325508856159,TD
1650,0.030181398469783856,TD
1700,0.024851362711228012,TD
1750,0.020792295110231947,TD
1800,0.016630678614604398,TD
1850,0.01341188737578348,TD
1900,0.009872157943956175,TD
1950,0.009106142965376431,TD
0,7.752523839193017,TS
50,7.557973268679141,TS
100,6.347420108410013,TS
150,4.702268006917447,TS
200,3.3662156485480477,TS
250,2.4622583611250275,TS
300,1.8717815689846056,TS
350,1.4830530729279956,TS
400,1.2297284880438435,TS
450,1.0658743064778802,TS
500,0.9566691285610829,TS
550,0.8774671151754695,TS
600,0.8092777002826703,TS
650,0.7573744473469839,TS
700,0.7169715416477126,TS
750,0.6883951436290862,TS
800,0.6671722464150776,TS
850,0.6430474295006356,TS
900,0.617666142627281,TS
950,0.5954180080782948,TS
1000,0.5740196774430113,TS
1050,0.5518994047305752,TS
1100,0.5235529615307275,TS
1150,0.5041178806021009,TS
1200,0.47808176626055987,TS
1250,0.42564155566854983,TS
1300,0.367326781193104,TS
1350,0.3050602505563427,TS
1400,0.24210182152747994,TS
1450,0.20128067356073584,TS
1500,0.16581733322826356,TS
1550,0.12161717331146178,TS
1600,0.09171215886780106,TS
1650,0.06852383665246362,TS
1700,0.05283084947549871,TS
1750,0.037651817971553224,TS
1800,0.028741680827104394,TS
1850,0.02132136837806312,TS
1900,0.016457384704507628,TS
1950,0.012763692568167083,TS
0,14.665663377193328,MIN HUR
50,13.367716757279961,MIN HUR
100,9.262101836211084,MIN HUR
150,5.57596926134059,MIN HUR
200,3.430062578201627,MIN HUR
250,2.3057649253024324,MIN HUR
300,1.659807545145835,MIN HUR
350,1.292249517238169,MIN HUR
400,1.0578556800110976,MIN HUR
450,0.9129672096429872,MIN HUR
500,0.8133268382772673,MIN HUR
550,0.7474961228307457,MIN HUR
600,0.6905292870829418,MIN HUR
650,0.6618810278503519,MIN HUR
700,0.6488626671116564,MIN HUR
750,0.6373927593948298,MIN HUR
800,0.6184575710987527,MIN HUR
850,0.5994216234454922,MIN HUR
900,0.5884512506390104,MIN HUR
950,0.5718610904701487,MIN HUR
1000,0.5587724303271568,MIN HUR
1050,0.5615436224483514,MIN HUR
1100,0.5680562555525562,MIN HUR
1150,0.5510062477635445,MIN HUR
1200,0.5190840877493405,MIN HUR
1250,0.506514763845757,MIN HUR
1300,0.4552054815035347,MIN HUR
1350,0.3783778067059826,MIN HUR
1400,0.3167077808152887,MIN HUR
1450,0.2681186467139143,MIN HUR
1500,0.2015815809269104,MIN HUR
1550,0.1253541542851539,MIN HUR
1600,0.1136802809399683,MIN HUR
1650,0.09433082175574102,MIN HUR
1700,0.08127919535314164,MIN HUR
1750,0.04356174554758569,MIN HUR
1800,0.029313547811346444,MIN HUR
1850,0.022072274054091488,MIN HUR
1900,0.017836020883399775,MIN HUR
1950,0.014844537455081148,MIN HUR
0,21.281619552741653,MAJ HUR
50,17.83250098187979,MAJ HUR
100,10.962307264999783,MAJ HUR
150,6.251284586820489,MAJ HUR
200,3.8750845372116145,MAJ HUR
250,2.6449058238832355,MAJ HUR
300,1.9674266678837855,MAJ HUR
350,1.5563072293221787,MAJ HUR
400,1.2615169578276249,MAJ HUR
450,1.0647133745268087,MAJ HUR
500,0.9471927418760596,MAJ HUR
550,0.8810373188886209,MAJ HUR
600,0.8344158513344989,MAJ HUR
650,0.78013584819989,MAJ HUR
700,0.7476867136624037,MAJ HUR
750,0.7129357890287611,MAJ HUR
800,0.6761469240863284,MAJ HUR
850,0.6430073739023784,MAJ HUR
900,0.6195007870278301,MAJ HUR
950,0.6024855116303254,MAJ HUR
1000,0.6164581925852803,MAJ HUR
1050,0.6228775232355379,MAJ HUR
1100,0.6169837474831743,MAJ HUR
1150,0.5687025721113499,MAJ HUR
1200,0.49263523870600684,MAJ HUR
1250,0.43188037504415333,MAJ HUR
1300,0.36715916620876965,MAJ HUR
1350,0.28819738525217337,MAJ HUR
1400,0.24342071288342304,MAJ HUR
1450,0.16517773214912843,MAJ HUR
1500,0.11929590533484312,MAJ HUR
1550,0.06999655262609647,MAJ HUR
1600,0.06271019696657833,MAJ HUR
1650,0.05237068572021945,MAJ HUR
1700,0.033743020781854774,MAJ HUR
1750,0.02665341899476268,MAJ HUR
1800,0.023197885768723784,MAJ HUR
1850,0.01687493497993857,MAJ HUR
1900,0.00834952488229502,MAJ HUR
1950,0.004885030709499237,MAJ HUR
