x,rain,basin
0,8.009382650256017,RNE
50,9.04282888463345,RNE
100,7.730679285723064,RNE
150,6.053955394586824,RNE
200,4.866769273792167,RNE
250,3.9260424831088367,RNE
300,3.200555461343872,RNE
350,2.611920430029141,RNE
400,2.1768531102196746,RNE
450,1.8194971553066905,RNE
500,1.5628350498788972,RNE
550,1.342866087631973,RNE
600,1.1614968920623001,RNE
650,1.0100083019244914,RNE
700,0.902031879649277,RNE
750,0.8089860331985479,RNE
800,0.7372550802558492,RNE
850,0.6642812196308521,RNE
900,0.6003678893872739,RNE
950,0.5481873172669259,RNE
1000,0.5006417218853039,RNE
1050,0.45019827239757565,RNE
1100,0.4041610239448953,RNE
1150,0.36462506529825334,RNE
1200,0.3241872688184951,RNE
1250,0.28096945260885603,RNE
1300,0.24660057623297818,RNE
1350,0.22092507776862716,RNE
1400,0.18388227490116166,RNE
1450,0.1555046989902545,RNE
1500,0.12454088177066411,RNE
1550,0.09529273026754186,RNE
1600,0.08214628856921322,RNE
1650,0.06939143595795504,RNE
1700,0.05970287681843699,RNE
1750,0.04794143593475377,RNE
1800,0.029746527770059948,RNE
1850,0.024491776579327464,RNE
1900,0.02094302169202079,RNE
1950,0.014032061410151557,RNE
0,7.001188533504517,RNW
50,7.068049329703965,RNW
100,5.37080840891509,RNW
150,3.7436394450279264,RNW
200,2.6765677865509354,RNW
250,1.9628506407070538,RNW
300,1.471957134168657,RNW
350,1.136665455758565,RNW
400,0.8739149043660869,RNW
450,0.6888700791016128,RNW
500,0.5468958812896297,RNW
550,0.4480982613070199,RNW
600,0.3838553988201985,RNW
650,0.33752407793630174,RNW
700,0.3028275028101981,RNW
750,0.28003260809321234,RNW
800,0.2630319685264171,RNW
850,0.25966694317362454,RNW
900,0.2467111195136583,RNW
950,0.23891162838822064,RNW
1000,0.23018584750992,RNW
1050,0.22419398418787853,RNW
1100,0.2041192285807539,RNW
1150,0.19026773501956826,RNW
1200,0.17411105679009867,RNW
1250,0.15001880041662247,RNW
1300,0.12561894199649862,RNW
1350,0.10179795734898855,RNW
1400,0.08127779642956456,RNW
1450,0.07075442652998742,RNW
1500,0.05266717060270521,RNW
1550,0.039351653579643917,RNW
1600,0.02940065153976129,RNW
1650,0.02552152059291018,RNW
1700,0.019317873238030282,RNW
1750,0.013171869703447017,RNW
1800,0.008713472016985382,RNW
1850,0.009002266062573148,RNW
1900,0.00991505491299309,RNW
1950,0.011588228545620454,RNW
0,6.548584770682593,RSW
50,5.723371414410183,RSW
100,4.1331997077007605,RSW
150,2.850127476674977,RSW
200,1.9933700453399252,RSW
250,1.4573753708831698,RSW
300,1.132887226902104,RSW
350,0.9346605887884164,RSW
400,0.8141183398912145,RSW
450,0.7287207268601231,RSW
500,0.677861333588702,RSW
550,0.6565684993810111,RSW
600,0.6371441210865927,RSW
650,0.6276256895514251,RSW
700,0.620205263989374,RSW
750,0.6109955256977211,RSW
800,0.6059594773527802,RSW
850,0.6106622329083057,RSW
900,0.6150575527323212,RSW
950,0.6160130813273859,RSW
1000,0.6296064571428919,RSW
1050,0.6493618164596575,RSW
1100,0.6554694843409888,RSW
1150,0.6614351633364878,RSW
1200,0.6281442740991688,RSW
1250,0.586774112936403,RSW
1300,0.5461572422820365,RSW
1350,0.49295316488829344,RSW
1400,0.4301461339857514,RSW
1450,0.3485201140743502,RSW
1500,0.2904970423320374,RSW
1550,0.23602120001371413,RSW
1600,0.20541884261548007,RSW
1650,0.17846730577983874,RSW
1700,0.1409772796489877,RSW
1750,0.1118555594267128,RSW
1800,0.0948367383753929,RSW
1850,0.07327503274185942,RSW
1900,0.05615009173004773,RSW
1950,0.04882554279203297,RSW
0,7.307650821740274,RSE
50,7.192438506042077,RSE
100,5.684710768781008,RSE
150,4.21810209252733,RSE
200,3.2032117339715445,RSE
250,2.497130378714724,RSE
300,1.9961781901449247,RSE
350,1.635781527163182,RSE
400,1.3467382630001827,RSE
450,1.161903413183642,RSE
500,1.0264459901563885,RSE
550,0.9270343863266546,RSE
600,0.8449367416725463,RSE
650,0.7851227598152752,RSE
700,0.7405834650116015,RSE
750,0.696065687612493,RSE
800,0.6494047748283744,RSE
850,0.6133770797041728,RSE
900,0.5846708295015718,RSE
950,0.5587697621868651,RSE
1000,0.5341977529963496,RSE
1050,0.5083633458650634,RSE
1100,0.4868072570922129,RSE
1150,0.4818529378422178,RSE
1200,0.45985817815374447,RSE
1250,0.41570841810643,RSE
1300,0.37877101275236463,RSE
1350,0.33219681799842904,RSE
1400,0.2903182558644333,RSE
1450,0.22356932551005382,RSE
1500,0.1919773737458393,RSE
1550,0.14942836018148242,RSE
1600,0.1320401376416474,RSE
1650,0.1100113295125423,RSE
1700,0.0988562241636534,RSE
1750,0.07386807262303907,RSE
1800,0.055210442390395964,RSE
1850,0.045882614371830936,RSE
1900,0.04022341193756406,RSE
1950,0.03734838790328565,RSE
