x,RNE,RNW,RSW,RSE
0,8.009382650256017,7.001188533504517,6.548584770682593,7.307650821740274
50,9.04282888463345,7.068049329703965,5.723371414410183,7.192438506042077
100,7.730679285723064,5.37080840891509,4.1331997077007605,5.684710768781008
150,6.053955394586824,3.7436394450279264,2.850127476674977,4.21810209252733
200,4.866769273792167,2.6765677865509354,1.9933700453399252,3.2032117339715445
250,3.9260424831088367,1.9628506407070538,1.4573753708831698,2.497130378714724
300,3.200555461343872,1.471957134168657,1.132887226902104,1.9961781901449247
350,2.611920430029141,1.136665455758565,0.9346605887884164,1.635781527163182
400,2.1768531102196746,0.8739149043660869,0.8141183398912145,1.3467382630001827
450,1.8194971553066905,0.6888700791016128,0.7287207268601231,1.161903413183642
500,1.5628350498788972,0.5468958812896297,0.677861333588702,1.0264459901563885
550,1.342866087631973,0.4480982613070199,0.6565684993810111,0.9270343863266546
600,1.1614968920623001,0.3838553988201985,0.6371441210865927,0.8449367416725463
650,1.0100083019244914,0.33752407793630174,0.6276256895514251,0.7851227598152752
700,0.902031879649277,0.3028275028101981,0.620205263989374,0.7405834650116015
750,0.8089860331985479,0.28003260809321234,0.6109955256977211,0.696065687612493
800,0.7372550802558492,0.2630319685264171,0.6059594773527802,0.6494047748283744
850,0.6642812196308521,0.25966694317362454,0.6106622329083057,0.6133770797041728
900,0.6003678893872739,0.2467111195136583,0.6150575527323212,0.5846708295015718
950,0.5481873172669259,0.23891162838822064,0.6160130813273859,0.5587697621868651
1000,0.5006417218853039,0.23018584750992,0.6296064571428919,0.5341977529963496
1050,0.45019827239757565,0.22419398418787853,0.6493618164596575,0.5083633458650634
1100,0.4041610239448953,0.2041192285807539,0.6554694843409888,0.4868072570922129
1150,0.36462506529825334,0.19026773501956826,0.6614351633364878,0.4818529378422178
1200,0.3241872688184951,0.17411105679009867,0.6281442740991688,0.45985817815374447
1250,0.28096945260885603,0.15001880041662247,0.586774112936403,0.41570841810643
1300,0.24660057623297818,0.12561894199649862,0.5461572422820365,0.37877101275236463
1350,0.22092507776862716,0.10179795734898855,0.49295316488829344,0.33219681799842904
1400,0.18388227490116166,0.08127779642956456,0.4301461339857514,0.2903182558644333
1450,0.1555046989902545,0.07075442652998742,0.3485201140743502,0.22356932551005382
1500,0.12454088177066411,0.05266717060270521,0.2904970423320374,0.1919773737458393
1550,0.09529273026754186,0.039351653579643917,0.23602120001371413,0.14942836018148242
1600,0.08214628856921322,0.02940065153976129,0.20541884261548007,0.1320401376416474
1650,0.06939143595795504,0.02552152059291018,0.17846730577983874,0.1100113295125423
1700,0.05970287681843699,0.019317873238030282,0.1409772796489877,0.0988562241636534
1750,0.04794143593475377,0.013171869703447017,0.1118555594267128,0.07386807262303907
1800,0.029746527770059948,0.008713472016985382,0.0948367383753929,0.055210442390395964
1850,0.024491776579327464,0.009002266062573148,0.07327503274185942,0.045882614371830936
1900,0.02094302169202079,0.00991505491299309,0.05615009173004773,0.04022341193756406
1950,0.014032061410151557,0.011588228545620454,0.04882554279203297,0.03734838790328565
