x,rain,basin
0,3.3244716505130656,TD
50,3.292125754646333,TD
100,2.9771364576245345,TD
150,2.5743861643067882,TD
200,2.1840204611034864,TD
250,1.8629878889689884,TD
300,1.6101096829628931,TD
350,1.4031363558779049,TD
400,1.2262256076579208,TD
450,1.0806906990132708,TD
500,0.9627385688055294,TD
550,0.8591945302630404,TD
600,0.7832077376069064,TD
650,0.7214139594284801,TD
700,0.6726666357244774,TD
750,0.6283513196625301,TD
800,0.5901716739291925,TD
850,0.5590911345587988,TD
900,0.5326108897176535,TD
950,0.5124679365087637,TD
1000,0.5001405074724223,TD
1050,0.47514072310208655,TD
1100,0.4487321014836166,TD
1150,0.4303804288796508,TD
1200,0.3902124090172289,TD
1250,0.33631429215797626,TD
1300,0.29453299707695896,TD
1350,0.24732896774741592,TD
1400,0.20883616804401192,TD
1450,0.17263094655812855,TD
1500,0.1432405975301843,TD
1550,0.1135724077335042,TD
1600,0.0990969843418231,TD
1650,0.08178530173467241,TD
1700,0.07271892567372325,TD
1750,0.058149686824090475,TD
1800,0.04543665037647933,TD
1850,0.03676330163460916,TD
1900,0.03385873027951542,TD
1950,0.03369907276980249,TD
0,5.9476306931180325,TS
50,5.916896298744058,TS
100,5.190814357605901,TS
150,4.146149919401319,TS
200,3.2200135372115417,TS
250,2.4981728755049444,TS
300,1.9842289700078832,TS
350,1.6220791156063838,TS
400,1.3493499226566092,TS
450,1.1361126464468385,TS
500,0.978375246579501,TS
550,0.8688156043989406,TS
600,0.7765194197871873,TS
650,0.704560913305043,TS
700,0.6529410799973207,TS
750,0.613431418541536,TS
800,0.5793236385896972,TS
850,0.5559546313731059,TS
900,0.5374245546707047,TS
950,0.5185869237840665,TS
1000,0.5007274068455917,TS
1050,0.4922938452697547,TS
1100,0.4892661998350812,TS
1150,0.4898979018684154,TS
1200,0.4735460219405823,TS
1250,0.44231223595114966,TS
1300,0.4131345107498233,TS
1350,0.3898127750895974,TS
1400,0.3462859285408903,TS
1450,0.284195636772091,TS
1500,0.23460879482424904,TS
1550,0.1936895602032062,TS
1600,0.17087671648338204,TS
1650,0.1477084130607664,TS
1700,0.12617358524821987,TS
1750,0.10357521601068666,TS
1800,0.08372005144931606,TS
1850,0.07109866356527722,TS
1900,0.05946059852022901,TS
1950,0.05363099442049791,TS
0,11.806551298042608,MIN HUR
50,12.235889349815467,MIN HUR
100,9.241493034565,MIN HUR
150,6.2116488241376695,MIN HUR
200,4.294067238988628,MIN HUR
250,3.062099809895212,MIN HUR
300,2.235329073063739,MIN HUR
350,1.67491123978635,MIN HUR
400,1.2843736334941922,MIN HUR
450,1.0337711855760365,MIN HUR
500,0.8726262629206295,MIN HUR
550,0.7532554957101232,MIN HUR
600,0.6729203530130241,MIN HUR
650,0.6229330040497603,MIN HUR
700,0.5757771565670047,MIN HUR
750,0.534770669673098,MIN HUR
800,0.5118357651247658,MIN HUR
850,0.4881819564929804,MIN HUR
900,0.45466484750421293,MIN HUR
950,0.438997855479914,MIN HUR
1000,0.43759584615755476,MIN HUR
1050,0.4497391173115653,MIN HUR
1100,0.42458447457549303,MIN HUR
1150,0.43363142441022756,MIN HUR
1200,0.4213961026079002,MIN HUR
1250,0.3976001216460887,MIN HUR
1300,0.3810041656543099,MIN HUR
1350,0.34250025252949273,MIN HUR
1400,0.29534854801328275,MIN HUR
1450,0.23749481042699513,MIN HUR
1500,0.20750104225834667,MIN HUR
1550,0.1565505926462253,MIN HUR
1600,0.132545130073492,MIN HUR
1650,0.11634154337408505,MIN HUR
1700,0.09475319523045074,MIN HUR
1750,0.08258711609345006,MIN HUR
1800,0.06627693972690857,MIN HUR
1850,0.05784471299352459,MIN HUR
1900,0.04412364845755495,MIN HUR
1950,0.04388828824560727,MIN HUR
0,18.418760288463343,MAJ HUR
50,18.485306039020724,MAJ HUR
100,11.77143435282162,MAJ HUR
150,6.831796503348639,MAJ HUR
200,4.500528201596982,MAJ HUR
250,3.188434722250307,MAJ HUR
300,2.3117941131323656,MAJ HUR
350,1.6844171827613355,MAJ HUR
400,1.242296273996875,MAJ HUR
450,0.9666731843573289,MAJ HUR
500,0.7892640510431979,MAJ HUR
550,0.6766725196163305,MAJ HUR
600,0.6038961486795094,MAJ HUR
650,0.5567275033770069,MAJ HUR
700,0.5219727780854755,MAJ HUR
750,0.4772305254520238,MAJ HUR
800,0.4429934874963419,MAJ HUR
850,0.42599988919455317,MAJ HUR
900,0.42125324535510833,MAJ HUR
950,0.4172865056168978,MAJ HUR
1000,0.4022106567468078,MAJ HUR
1050,0.3997624475974389,MAJ HUR
1100,0.3836998260745583,MAJ HUR
1150,0.3718421333328256,MAJ HUR
1200,0.32560409773824683,MAJ HUR
1250,0.2996504725772368,MAJ HUR
1300,0.2783298597511149,MAJ HUR
1350,0.21702793759416333,MAJ HUR
1400,0.19280552956415922,MAJ HUR
1450,0.15267659893707455,MAJ HUR
1500,0.13150282277807984,MAJ HUR
1550,0.10064434616776141,MAJ HUR
1600,0.08395321444082761,MAJ HUR
1650,0.07173331769527233,MAJ HUR
1700,0.07361265630323485,MAJ HUR
1750,0.04698177748231687,MAJ HUR
1800,0.029970733578649395,MAJ HUR
1850,0.018450847042075703,MAJ HUR
1900,0.012336870308351539,MAJ HUR
1950,0.011113247977158104,MAJ HUR
