basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012001,2001,05,28,12,203.5,528.75,22602.5625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012001,2001,05,28,18,212.7,537.15,18862.9375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012001,2001,05,29,00,231.2,576.84,18358.4375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012001,2001,05,29,06,231.2,503.12,14645.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012001,2001,05,29,12,231.2,562.1,17139.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012001,2001,05,29,18,212.7,553.37,16706.9375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012001,2001,05,30,00,203.5,661.74,15581.6875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012001,2001,05,30,06,185.0,511.59,8605.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012002,2002,05,30,06,185.0,506.25,12078.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012002,2002,05,30,12,185.0,401.28,11581.125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012011,2011,06,09,18,194.2,449.02,11251.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012011,2011,06,10,00,222.0,544.29,8372.0625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012011,2011,06,10,06,222.0,555.67,8454.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012011,2011,06,10,12,222.0,494.87,11726.3125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012011,2011,06,10,18,203.5,507.52,9724.0625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012011,2011,06,11,00,185.0,480.79,2945.0
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,25,06,222.0,579.7,22071.6875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,25,12,249.7,525.68,25022.3125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,25,18,249.7,676.33,27860.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,26,00,231.2,731.92,35022.5625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,26,06,222.0,802.05,54204.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,26,12,212.7,780.55,58236.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,26,18,203.5,857.54,48782.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,27,00,194.2,761.17,34311.75
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012014,2014,05,27,06,185.0,732.86,36090.5625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,05,31,00,185.0,755.71,47638.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,05,31,06,185.0,552.13,35043.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,05,31,12,185.0,690.01,56535.0
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,05,31,18,203.5,715.51,42453.5625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,06,01,00,222.0,556.54,22796.75
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,06,01,06,231.2,594.18,21077.5
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,06,01,12,231.2,541.73,25744.3125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,06,01,18,212.7,530.74,21096.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP012015,2015,06,02,00,185.0,612.82,24649.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022012,2012,05,25,00,185.0,432.69,11358.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022015,2015,06,03,12,212.7,719.88,39477.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022015,2015,06,03,18,231.2,671.49,36978.4375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022015,2015,06,04,00,222.0,641.59,41464.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022015,2015,06,04,06,203.5,625.1,52874.75
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022015,2015,06,06,06,185.0,688.83,24659.6875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022015,2015,06,06,12,212.7,561.93,23937.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022015,2015,06,06,18,194.2,406.52,19545.3125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022015,2015,06,07,00,194.2,505.47,18929.3125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022018,2018,06,08,06,194.2,539.37,34852.4375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022018,2018,06,08,12,222.0,563.06,32590.6875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022018,2018,06,08,18,222.0,546.27,20582.6875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022018,2018,06,09,00,203.5,478.75,13111.75
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022018,2018,06,09,06,185.0,576.12,21130.0
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,02,12,212.7,702.19,64041.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,02,18,231.2,681.11,51981.1875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,03,00,249.7,593.72,49249.6875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,03,06,249.7,666.11,39551.1875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,03,12,240.5,556.42,36367.5625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,03,18,222.0,591.11,36580.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,04,00,212.7,593.78,37691.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,04,06,194.2,642.28,28400.5625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP022019,2019,07,04,12,185.0,585.05,31586.9375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,21,00,203.5,940.53,58945.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,21,06,249.7,793.85,45256.3125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,21,12,249.7,749.24,41318.3125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,21,18,240.5,724.27,42330.1875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,22,00,212.7,844.56,44444.75
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,22,06,185.0,947.19,51573.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,22,12,185.0,880.57,41337.6875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,22,18,185.0,697.58,30107.1875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032000,2000,06,23,00,185.0,956.33,35966.625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032006,2006,07,13,00,185.0,725.95,30637.9375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032006,2006,07,13,06,203.5,575.16,19181.6875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032006,2006,07,13,12,185.0,626.17,18187.5625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032014,2014,06,12,06,194.2,414.94,10442.8125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032014,2014,06,12,12,240.5,451.63,13361.5
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032014,2014,06,12,18,231.2,324.86,9372.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032014,2014,06,13,00,203.5,816.24,17983.125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,05,18,194.2,650.79,37195.8125
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,06,00,222.0,587.14,34784.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,06,06,212.7,546.12,27049.1875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,06,12,203.5,601.25,34394.875
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,06,18,203.5,557.34,28893.0625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,07,00,203.5,572.5,27907.4375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,07,06,203.5,592.08,23863.25
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,07,12,194.2,475.37,26510.9375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032016,2016,07,07,18,185.0,645.03,25343.25
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032018,2018,06,11,12,185.0,753.19,56609.5625
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032018,2018,06,11,18,203.5,718.05,41595.375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032018,2018,06,12,00,222.0,1070.9,49483.4375
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032018,2018,06,12,06,212.7,834.35,42611.25
EP,Eastern Pacific,MAJ_HUR,Major Hurricane,EP032018,2018,06,12,12,203.5,675.55,38871.4375
