basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012001,2001,05,27,18,138.7,784.27,30516.75
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012001,2001,05,28,00,175.7,665.13,23395.5
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012001,2001,05,30,12,175.7,315.44,7057.0625
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012001,2001,05,30,18,166.5,323.6,14191.4375
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012001,2001,05,31,00,148.0,678.63,20880.9375
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012001,2001,05,31,06,129.5,324.91,6726.75
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012001,2001,05,31,12,120.2,186.62,3892.3125
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012001,2001,05,31,18,120.2,128.79,2984.5
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,28,18,120.2,792.44,33634.125
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,29,00,129.5,739.61,22893.125
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,29,06,138.7,616.98,16103.6875
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,29,12,148.0,455.88,18902.1875
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,29,18,157.2,486.86,15749.8125
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,30,00,166.5,556.18,19679.125
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,30,18,175.7,393.9,7959.5625
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,31,00,157.2,249.5,5576.0
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012002,2002,05,31,06,138.7,296.58,2392.6875
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012005,2005,05,19,18,129.5,636.58,51254.625
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012011,2011,06,09,00,129.5,554.33,15244.4375
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012011,2011,06,09,06,138.7,437.29,14601.3125
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012011,2011,06,09,12,166.5,502.65,14929.1875
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012011,2011,06,11,06,148.0,185.22,999.375
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012011,2011,06,11,12,120.2,234.84,782.3125
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012014,2014,05,24,12,120.2,651.71,16668.8125
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012014,2014,05,24,18,138.7,624.05,18940.875
EP,Eastern Pacific,MIN_HUR,Minor Hurricane,EP012014,2014,05,25,00,166.5,696.98,19751.25
