basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,09,06,37.0,640.31,50481.0625
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,09,12,37.0,560.16,45464.625
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,09,18,37.0,619.45,36876.8125
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,10,00,37.0,515.95,33155.875
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,10,06,46.25,618.58,23879.6875
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,10,12,46.25,624.45,28012.4375
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,10,18,46.25,610.62,15729.375
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,11,00,46.25,434.19,10087.4375
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,11,06,46.25,414.51,8768.625
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,11,12,46.25,364.98,14888.4375
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,11,18,46.25,459.98,13223.375
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,12,00,46.25,481.47,9687.8125
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,12,06,46.25,396.03,8741.3125
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,12,12,46.25,235.59,7919.5
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,12,18,46.25,243.56,5921.6875
EP,Eastern Pacific,TD,Tropical Depression,CP032013,2013,08,13,00,46.25,384.86,9168.8125
EP,Eastern Pacific,TD,Tropical Depression,EP012001,2001,05,25,18,46.25,554.96,26449.125
EP,Eastern Pacific,TD,Tropical Depression,EP012001,2001,05,26,00,55.5,671.03,14487.3125
EP,Eastern Pacific,TD,Tropical Depression,EP012001,2001,05,26,06,55.5,653.11,15392.8125
EP,Eastern Pacific,TD,Tropical Depression,EP012001,2001,05,26,12,55.5,684.36,33299.625
EP,Eastern Pacific,TD,Tropical Depression,EP012002,2002,05,24,18,55.5,583.74,24187.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012002,2002,05,25,00,55.5,585.47,24989.625
EP,Eastern Pacific,TD,Tropical Depression,EP012002,2002,05,25,06,55.5,688.62,35991.625
EP,Eastern Pacific,TD,Tropical Depression,EP012002,2002,05,25,12,55.5,570.64,34925.6875
EP,Eastern Pacific,TD,Tropical Depression,EP012002,2002,05,25,18,55.5,574.0,38145.3125
EP,Eastern Pacific,TD,Tropical Depression,EP012002,2002,05,26,00,55.5,660.43,21692.3125
EP,Eastern Pacific,TD,Tropical Depression,EP012002,2002,05,26,06,55.5,559.53,25251.5
EP,Eastern Pacific,TD,Tropical Depression,EP012003,2003,05,19,18,46.25,610.78,24555.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012003,2003,05,20,00,55.5,393.36,15084.625
EP,Eastern Pacific,TD,Tropical Depression,EP012003,2003,05,25,06,55.5,862.0,878.25
EP,Eastern Pacific,TD,Tropical Depression,EP012004,2004,05,22,00,46.25,428.64,7636.875
EP,Eastern Pacific,TD,Tropical Depression,EP012004,2004,05,22,06,55.5,397.58,10937.5
EP,Eastern Pacific,TD,Tropical Depression,EP012004,2004,05,24,00,55.5,778.19,850.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012004,2004,05,24,06,46.25,133.12,213.75
EP,Eastern Pacific,TD,Tropical Depression,EP012005,2005,05,17,18,55.5,767.5,38944.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012005,2005,05,20,18,46.25,657.23,22040.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012005,2005,05,21,00,37.0,600.83,10611.25
EP,Eastern Pacific,TD,Tropical Depression,EP012006,2006,05,27,06,46.25,578.53,20457.0
EP,Eastern Pacific,TD,Tropical Depression,EP012006,2006,05,27,12,55.5,490.94,27354.25
EP,Eastern Pacific,TD,Tropical Depression,EP012006,2006,05,29,18,55.5,199.12,618.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012006,2006,05,30,00,55.5,430.22,2555.375
EP,Eastern Pacific,TD,Tropical Depression,EP012006,2006,05,30,06,55.5,232.71,1822.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012006,2006,05,30,12,46.25,222.49,2355.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012006,2006,05,30,18,46.25,582.08,10279.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012006,2006,05,31,00,46.25,945.42,14327.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,27,00,55.5,562.33,33242.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,27,06,55.5,588.38,26903.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,27,12,46.25,488.96,19880.25
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,27,18,46.25,727.42,22073.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,28,00,46.25,562.95,19769.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,28,06,55.5,606.01,18217.0
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,28,12,55.5,516.16,16216.6875
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,28,18,55.5,439.11,18142.625
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,30,06,55.5,429.08,5804.6875
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,30,12,55.5,360.08,4886.25
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,30,18,55.5,471.61,6248.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,31,00,55.5,622.21,9848.3125
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,31,06,46.25,573.67,7965.875
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,31,12,46.25,712.98,5458.8125
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,05,31,18,46.25,313.23,464.5
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,01,00,46.25,206.79,612.0
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,01,06,46.25,115.12,1148.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,01,12,46.25,243.18,4333.375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,01,18,46.25,192.82,2908.875
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,02,00,46.25,435.02,14336.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,02,06,46.25,312.71,10780.5
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,02,12,46.25,384.59,12609.5
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,02,18,46.25,497.36,13045.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,03,00,46.25,431.58,8947.125
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,03,06,46.25,421.52,8839.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,03,12,46.25,420.42,12728.125
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,03,18,46.25,494.94,17414.25
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,04,00,46.25,559.12,24350.6875
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,04,06,46.25,532.34,27974.6875
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,04,12,46.25,569.96,25683.5
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,04,18,46.25,604.38,25411.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,05,00,46.25,629.95,15781.375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,05,06,46.25,512.72,11188.375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,05,12,46.25,442.03,8668.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,05,18,46.25,452.46,11591.625
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,06,00,46.25,373.56,9833.625
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,06,06,46.25,478.73,10621.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012007,2007,06,06,12,37.0,371.07,7983.625
EP,Eastern Pacific,TD,Tropical Depression,EP012008,2008,05,29,00,55.5,781.14,56045.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012008,2008,05,30,06,55.5,791.66,51964.875
EP,Eastern Pacific,TD,Tropical Depression,EP012008,2008,05,30,12,46.25,864.67,41942.625
EP,Eastern Pacific,TD,Tropical Depression,EP012009,2009,06,17,18,46.25,632.46,33913.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012009,2009,06,18,00,46.25,627.21,26294.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012009,2009,06,18,06,46.25,659.13,26755.875
EP,Eastern Pacific,TD,Tropical Depression,EP012009,2009,06,18,12,46.25,442.85,23618.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012009,2009,06,18,18,55.5,578.38,24059.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012009,2009,06,19,00,55.5,899.92,46498.375
EP,Eastern Pacific,TD,Tropical Depression,EP012009,2009,06,19,06,55.5,699.42,12806.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012009,2009,06,19,12,55.5,432.26,10127.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012010,2010,05,28,18,55.5,681.13,31156.75
EP,Eastern Pacific,TD,Tropical Depression,EP012010,2010,05,29,00,55.5,669.4,35635.125
EP,Eastern Pacific,TD,Tropical Depression,EP012010,2010,05,30,06,46.25,525.48,17334.3125
EP,Eastern Pacific,TD,Tropical Depression,EP012010,2010,05,30,12,27.75,487.06,17541.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,07,00,46.25,539.91,17660.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,07,06,46.25,572.58,20387.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,07,12,46.25,424.78,21426.3125
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,07,18,55.5,563.27,25094.25
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,13,00,55.5,461.57,357.625
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,13,06,46.25,731.5,2446.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,13,12,37.0,664.76,239.0
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,13,18,37.0,424.96,107.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,14,00,37.0,624.45,1306.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012011,2011,06,14,06,37.0,674.27,2944.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,13,18,46.25,343.42,21470.8125
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,14,00,46.25,426.28,15043.25
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,14,06,46.25,294.02,14142.875
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,14,12,55.5,577.7,31093.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,14,18,55.5,516.52,31856.0
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,17,06,55.5,366.38,4254.75
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,17,12,55.5,223.61,2948.25
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,17,18,55.5,382.56,14444.375
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,18,00,55.5,417.64,13614.5
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,18,06,55.5,382.8,12388.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,18,12,55.5,553.75,7470.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,18,18,55.5,293.93,3834.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,19,00,46.25,242.07,1733.875
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,19,06,46.25,612.38,2106.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,19,12,46.25,490.57,1730.0
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,19,18,46.25,373.52,1765.75
EP,Eastern Pacific,TD,Tropical Depression,EP012012,2012,05,20,00,46.25,600.3,226.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,13,12,37.0,477.69,39222.3125
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,13,18,37.0,488.71,61971.5
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,14,00,46.25,600.28,57578.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,14,06,46.25,640.71,52389.25
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,14,12,46.25,749.63,59926.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,14,18,46.25,672.27,40234.5
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,15,00,46.25,600.61,19787.8125
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,15,06,55.5,650.79,19877.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012013,2013,05,15,12,55.5,646.78,34854.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012014,2014,05,22,06,46.25,532.83,21429.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012014,2014,05,22,12,46.25,631.62,21197.6875
EP,Eastern Pacific,TD,Tropical Depression,EP012014,2014,05,22,18,46.25,580.79,28710.375
EP,Eastern Pacific,TD,Tropical Depression,EP012014,2014,05,23,00,46.25,655.36,42775.1875
EP,Eastern Pacific,TD,Tropical Depression,EP012014,2014,05,23,06,55.5,690.33,45163.875
EP,Eastern Pacific,TD,Tropical Depression,EP012014,2014,05,23,12,55.5,745.64,45494.625
EP,Eastern Pacific,TD,Tropical Depression,EP012014,2014,05,29,12,55.5,831.19,26435.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012015,2015,05,28,06,55.5,710.72,53243.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012015,2015,06,05,00,55.5,514.44,5132.25
EP,Eastern Pacific,TD,Tropical Depression,EP012015,2015,06,05,06,55.5,537.88,4091.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012015,2015,06,05,12,55.5,527.67,5851.875
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,06,06,46.25,629.34,28991.75
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,06,12,46.25,457.85,26453.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,06,18,55.5,604.04,22443.125
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,07,00,55.5,621.61,21132.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,07,06,55.5,639.92,22618.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,07,12,55.5,774.44,25753.875
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,07,18,55.5,467.22,12276.125
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,08,00,46.25,494.51,10177.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012016,2016,06,08,06,46.25,805.42,19220.5625
EP,Eastern Pacific,TD,Tropical Depression,EP012017,2017,05,09,18,55.5,645.21,33779.25
EP,Eastern Pacific,TD,Tropical Depression,EP012017,2017,05,11,00,55.5,713.66,12243.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012017,2017,05,11,06,46.25,710.27,21583.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012017,2017,05,11,12,46.25,802.5,22714.25
EP,Eastern Pacific,TD,Tropical Depression,EP012017,2017,05,11,18,37.0,539.08,18016.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012017,2017,05,12,00,37.0,504.7,5043.8125
EP,Eastern Pacific,TD,Tropical Depression,EP012017,2017,05,12,06,37.0,425.22,6257.625
EP,Eastern Pacific,TD,Tropical Depression,EP012019,2019,06,25,12,46.25,578.46,23751.3125
EP,Eastern Pacific,TD,Tropical Depression,EP012019,2019,06,25,18,46.25,579.44,18820.4375
EP,Eastern Pacific,TD,Tropical Depression,EP012019,2019,06,26,00,55.5,597.86,15193.5
EP,Eastern Pacific,TD,Tropical Depression,EP012019,2019,06,26,06,55.5,460.35,12688.0625
EP,Eastern Pacific,TD,Tropical Depression,EP012019,2019,06,29,06,55.5,606.69,3025.0
EP,Eastern Pacific,TD,Tropical Depression,EP012019,2019,06,29,12,46.25,542.14,901.125
EP,Eastern Pacific,TD,Tropical Depression,EP012019,2019,06,29,18,46.25,649.52,377.875
EP,Eastern Pacific,TD,Tropical Depression,EP012020,2020,04,25,06,55.5,534.78,6907.9375
EP,Eastern Pacific,TD,Tropical Depression,EP012020,2020,04,25,12,55.5,470.16,6563.5
EP,Eastern Pacific,TD,Tropical Depression,EP012020,2020,04,25,18,55.5,241.76,2031.375
EP,Eastern Pacific,TD,Tropical Depression,EP012020,2020,04,26,00,55.5,218.4,2189.6875
EP,Eastern Pacific,TD,Tropical Depression,EP012020,2020,04,26,06,55.5,256.52,1817.5
