basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
EP,Eastern Pacific,TS,Tropical Storm,EP012001,2001,05,26,18,64.75,709.5,42624.4375
EP,Eastern Pacific,TS,Tropical Storm,EP012001,2001,05,27,00,74.0,684.91,36793.375
EP,Eastern Pacific,TS,Tropical Storm,EP012001,2001,05,27,06,92.5,771.43,48691.9375
EP,Eastern Pacific,TS,Tropical Storm,EP012001,2001,05,27,12,111.0,791.56,37040.5
EP,Eastern Pacific,TS,Tropical Storm,EP012001,2001,06,01,00,101.7,431.46,10246.875
EP,Eastern Pacific,TS,Tropical Storm,EP012001,2001,06,01,06,83.25,353.73,3195.25
EP,Eastern Pacific,TS,Tropical Storm,EP012001,2001,06,01,12,64.75,145.39,188.375
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,26,12,64.75,633.96,49434.5625
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,26,18,64.75,657.9,58704.0625
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,27,00,64.75,681.27,48773.375
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,27,06,64.75,590.0,47689.0625
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,27,12,74.0,686.08,57242.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,27,18,83.25,704.6,58055.5625
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,28,00,92.5,757.48,71066.6875
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,28,06,101.7,797.33,62944.0
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,28,12,111.0,629.97,42958.0
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,31,12,111.0,550.72,4642.375
EP,Eastern Pacific,TS,Tropical Storm,EP012002,2002,05,31,18,92.5,511.21,132.6875
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,20,06,74.0,360.82,16155.4375
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,20,12,83.25,468.35,22284.1875
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,20,18,92.5,460.48,29687.75
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,21,00,92.5,580.42,28027.3125
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,21,06,92.5,584.36,27872.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,21,12,83.25,548.25,28165.5
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,21,18,83.25,603.15,20009.9375
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,22,00,83.25,482.48,13724.625
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,22,06,92.5,404.85,21480.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,22,12,92.5,515.73,35462.0
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,22,18,83.25,599.98,31623.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,23,00,83.25,795.3,24369.3125
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,23,06,83.25,598.99,25505.625
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,23,12,83.25,497.34,29040.75
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,23,18,83.25,485.06,21904.1875
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,24,00,83.25,476.35,18867.5625
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,24,06,83.25,396.98,14926.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,24,12,83.25,400.44,12858.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,24,18,74.0,454.16,7186.9375
EP,Eastern Pacific,TS,Tropical Storm,EP012003,2003,05,25,00,64.75,570.09,1992.4375
EP,Eastern Pacific,TS,Tropical Storm,EP012004,2004,05,22,12,64.75,584.26,16152.6875
EP,Eastern Pacific,TS,Tropical Storm,EP012004,2004,05,22,18,83.25,443.36,9792.125
EP,Eastern Pacific,TS,Tropical Storm,EP012004,2004,05,23,00,92.5,618.0,12817.5
EP,Eastern Pacific,TS,Tropical Storm,EP012004,2004,05,23,06,83.25,454.7,5943.375
EP,Eastern Pacific,TS,Tropical Storm,EP012004,2004,05,23,12,74.0,580.79,4672.125
EP,Eastern Pacific,TS,Tropical Storm,EP012004,2004,05,23,18,64.75,285.51,2073.3125
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,18,00,64.75,639.98,30104.0625
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,18,06,74.0,628.76,45499.875
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,18,12,83.25,747.72,62226.375
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,18,18,92.5,707.96,40176.125
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,19,00,92.5,721.1,22373.375
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,19,06,92.5,723.64,20988.125
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,19,12,111.0,570.73,30082.5
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,20,00,111.0,814.19,51545.0625
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,20,06,92.5,731.73,41807.0625
EP,Eastern Pacific,TS,Tropical Storm,EP012005,2005,05,20,12,64.75,709.02,23496.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012006,2006,05,27,18,64.75,511.89,15380.5625
EP,Eastern Pacific,TS,Tropical Storm,EP012006,2006,05,28,00,64.75,717.84,13350.125
EP,Eastern Pacific,TS,Tropical Storm,EP012006,2006,05,28,06,74.0,723.14,11002.375
EP,Eastern Pacific,TS,Tropical Storm,EP012006,2006,05,28,12,74.0,316.03,7559.625
EP,Eastern Pacific,TS,Tropical Storm,EP012006,2006,05,28,18,74.0,389.7,6458.25
EP,Eastern Pacific,TS,Tropical Storm,EP012006,2006,05,29,00,74.0,655.53,9441.4375
EP,Eastern Pacific,TS,Tropical Storm,EP012006,2006,05,29,06,64.75,630.72,10822.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012006,2006,05,29,12,64.75,324.16,2514.0625
EP,Eastern Pacific,TS,Tropical Storm,EP012007,2007,05,29,00,64.75,502.6,12836.3125
EP,Eastern Pacific,TS,Tropical Storm,EP012007,2007,05,29,06,64.75,538.08,10816.25
EP,Eastern Pacific,TS,Tropical Storm,EP012007,2007,05,29,12,64.75,559.34,8745.625
EP,Eastern Pacific,TS,Tropical Storm,EP012007,2007,05,29,18,64.75,571.55,7134.0
EP,Eastern Pacific,TS,Tropical Storm,EP012007,2007,05,30,00,64.75,360.08,5470.625
EP,Eastern Pacific,TS,Tropical Storm,EP012008,2008,05,29,06,64.75,626.69,50888.5
EP,Eastern Pacific,TS,Tropical Storm,EP012008,2008,05,29,12,83.25,788.24,62771.3125
EP,Eastern Pacific,TS,Tropical Storm,EP012008,2008,05,29,18,101.7,762.33,55022.1875
EP,Eastern Pacific,TS,Tropical Storm,EP012008,2008,05,30,00,83.25,835.15,49923.0
EP,Eastern Pacific,TS,Tropical Storm,EP012010,2010,05,29,06,64.75,607.29,25713.6875
EP,Eastern Pacific,TS,Tropical Storm,EP012010,2010,05,29,12,64.75,570.16,37291.1875
EP,Eastern Pacific,TS,Tropical Storm,EP012010,2010,05,29,18,74.0,526.22,31383.875
EP,Eastern Pacific,TS,Tropical Storm,EP012010,2010,05,30,00,64.75,704.32,27846.9375
EP,Eastern Pacific,TS,Tropical Storm,EP012011,2011,06,08,00,64.75,620.46,17958.25
EP,Eastern Pacific,TS,Tropical Storm,EP012011,2011,06,08,06,83.25,365.17,12025.875
EP,Eastern Pacific,TS,Tropical Storm,EP012011,2011,06,08,12,101.7,535.82,23186.125
EP,Eastern Pacific,TS,Tropical Storm,EP012011,2011,06,08,18,111.0,481.27,16489.4375
EP,Eastern Pacific,TS,Tropical Storm,EP012011,2011,06,11,18,101.7,546.56,2752.0
EP,Eastern Pacific,TS,Tropical Storm,EP012011,2011,06,12,00,83.25,617.91,2826.375
EP,Eastern Pacific,TS,Tropical Storm,EP012011,2011,06,12,12,64.75,541.04,3101.625
EP,Eastern Pacific,TS,Tropical Storm,EP012011,2011,06,12,18,64.75,750.99,715.1875
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,15,00,64.75,611.88,34380.3125
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,15,06,64.75,698.14,30922.5625
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,15,12,74.0,610.58,29651.5625
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,15,18,83.25,655.76,19496.125
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,16,00,83.25,629.31,21621.3125
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,16,06,83.25,544.33,32139.1875
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,16,12,83.25,551.16,46115.625
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,16,18,74.0,506.61,29306.6875
EP,Eastern Pacific,TS,Tropical Storm,EP012012,2012,05,17,00,64.75,398.74,13946.4375
EP,Eastern Pacific,TS,Tropical Storm,EP012013,2013,05,15,18,64.75,647.26,35877.9375
EP,Eastern Pacific,TS,Tropical Storm,EP012013,2013,05,16,00,74.0,724.13,32995.5
EP,Eastern Pacific,TS,Tropical Storm,EP012013,2013,05,16,06,92.5,726.04,42802.75
EP,Eastern Pacific,TS,Tropical Storm,EP012013,2013,05,16,12,83.25,638.71,59407.1875
EP,Eastern Pacific,TS,Tropical Storm,EP012013,2013,05,16,18,74.0,743.2,54233.25
EP,Eastern Pacific,TS,Tropical Storm,EP012013,2013,05,17,00,64.75,711.63,44721.0
EP,Eastern Pacific,TS,Tropical Storm,EP012014,2014,05,23,18,64.75,702.3,28687.125
EP,Eastern Pacific,TS,Tropical Storm,EP012014,2014,05,24,00,83.25,674.63,20242.9375
EP,Eastern Pacific,TS,Tropical Storm,EP012014,2014,05,24,06,101.7,633.82,15201.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012014,2014,05,28,12,101.7,876.07,45258.75
EP,Eastern Pacific,TS,Tropical Storm,EP012014,2014,05,28,18,92.5,964.09,44528.75
EP,Eastern Pacific,TS,Tropical Storm,EP012014,2014,05,29,00,83.25,507.22,12326.375
EP,Eastern Pacific,TS,Tropical Storm,EP012014,2014,05,29,06,64.75,923.51,23241.8125
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,05,28,12,74.0,777.53,75910.1875
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,05,28,18,92.5,869.12,81151.0
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,05,29,00,111.0,951.43,80022.625
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,05,29,06,111.0,810.33,78880.375
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,05,29,12,111.0,929.56,100519.25
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,06,03,06,111.0,215.4,4033.9375
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,06,03,12,101.7,224.82,5599.625
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,06,03,18,92.5,268.15,5063.0
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,06,04,00,83.25,285.35,11163.25
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,06,04,06,83.25,416.99,10593.3125
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,06,04,12,64.75,624.11,9807.5625
EP,Eastern Pacific,TS,Tropical Storm,EP012015,2015,06,04,18,64.75,541.61,5823.0625
EP,Eastern Pacific,TS,Tropical Storm,EP012017,2017,05,10,00,64.75,650.74,22090.0625
EP,Eastern Pacific,TS,Tropical Storm,EP012017,2017,05,10,06,74.0,747.08,25197.6875
EP,Eastern Pacific,TS,Tropical Storm,EP012017,2017,05,10,12,64.75,700.07,19106.0625
