basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032004,2004,08,13,06,194.2,576.21,14753.9375
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032004,2004,08,13,18,231.2,638.01,22629.4375
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,06,30,12,194.4,601.31,0.8874723116750817
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,06,30,18,213.12,689.88,783.2750339990016
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,01,00,203.76,461.95,260.7518935801927
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,01,06,194.4,576.01,6695.001540816447
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,01,12,213.12,492.6,19468.06282999128
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,01,18,240.84000000000003,583.93,25825.01224121061
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,02,00,259.2,618.93,17066.270568330598
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,02,06,268.56,547.88,26362.76299303159
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,02,12,268.56,625.74,31992.17341777106
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,02,18,249.84000000000003,595.05,28376.31060073769
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,03,00,240.84000000000003,659.38,25592.7891316138
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,03,06,231.48,640.51,28495.717110544967
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,03,12,231.48,575.23,22453.504381894832
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,03,18,222.12,699.88,33388.95207566308
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,04,00,213.12,843.98,31629.082539818774
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,04,06,203.76,855.99,28511.933203367986
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,04,12,185.04,571.24,15959.703749673325
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL032024,2024,07,05,00,185.04,688.6,27401.620864310884
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,07,18,185.0,653.77,31142.0625
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,08,00,222.0,804.66,39501.5625
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,08,06,203.5,695.08,35530.0625
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,08,12,240.5,650.01,33777.3125
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,08,18,222.0,866.34,36379.3125
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,09,00,185.0,838.58,36039.125
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,10,00,203.5,924.73,41730.875
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,10,06,231.2,776.93,34361.3125
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,10,12,222.0,536.26,35406.5
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042005,2005,07,10,18,203.5,655.36,51249.625
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042007,2007,08,17,18,203.5,628.63,23873.3125
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042007,2007,08,18,00,231.2,580.54,16988.375
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042007,2007,08,18,06,268.2,563.8,21858.1875
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042007,2007,08,18,12,268.2,489.71,28834.625
NA,North Atlantic,MAJ_HUR,Major Hurricane,AL042007,2007,08,18,18,240.5,649.68,41279.1875
