basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012004,2004,08,03,06,129.5,626.35,19351.375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012004,2004,08,03,12,157.2,707.57,25277.9375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012007,2007,05,07,06,120.2,635.73,23767.5625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012007,2007,05,07,12,120.2,749.62,23325.25
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012007,2007,05,07,18,120.2,785.92,15041.25
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012010,2010,06,30,00,120.2,896.05,53127.125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012010,2010,06,30,06,129.5,935.59,61028.75
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012010,2010,06,30,12,138.7,873.8,55002.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012010,2010,06,30,18,148.0,836.29,68015.75
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012010,2010,07,01,00,166.5,960.02,59228.6875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012010,2010,07,01,06,138.7,805.32,54346.1875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,03,00,120.2,1033.68,13346.5
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,03,06,129.5,764.2,18060.1875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,03,12,148.0,746.56,18315.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,03,18,148.0,838.5,22303.0625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012014,2014,07,04,00,157.2,706.84,16232.3125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,10,00,120.2,1063.43,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,10,06,120.2,1210.9,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,10,12,120.2,1084.32,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,14,06,120.2,698.38,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,14,12,138.7,651.32,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,14,18,138.7,914.05,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL012016,2016,01,15,00,129.5,746.2,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL022018,2018,07,06,06,129.5,596.54,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL022018,2018,07,06,12,129.5,464.32,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL022018,2018,07,06,18,120.2,448.93,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL022018,2018,07,07,00,120.2,321.37,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL022018,2018,07,07,06,120.2,424.41,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL022019,2019,07,13,12,120.2,566.41,24280.375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,11,18,120.2,510.15,10764.25
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,12,00,120.2,746.58,12893.5625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,12,06,138.7,674.12,17061.5625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,12,12,148.0,366.19,14076.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,12,18,166.5,443.14,19066.0625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,13,00,166.5,922.81,34228.0625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,13,12,175.7,811.99,20994.375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,14,00,138.7,691.48,14740.75
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,14,06,138.7,347.96,13329.6875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032004,2004,08,14,12,120.2,574.64,20913.5
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032005,2005,07,06,00,120.2,898.65,21049.375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032014,2014,08,04,12,129.5,920.15,24550.9375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032014,2014,08,04,18,129.5,1080.84,34447.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032014,2014,08,05,00,120.2,994.62,17914.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032018,2018,07,10,12,120.2,902.06,17132.8125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032018,2018,07,10,18,138.7,812.82,11405.6875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032018,2018,07,11,00,166.5,720.62,9518.9375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032018,2018,07,11,06,166.5,626.29,8007.5
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032024,2024,06,30,00,129.6,709.83,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032024,2024,06,30,06,157.32000000000002,587.36,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032024,2024,07,04,18,176.04,557.53,23705.07502007828
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032024,2024,07,05,06,176.04,581.47,21100.524266646244
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032024,2024,07,05,12,148.32000000000002,614.89,23271.593259939807
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032024,2024,07,08,06,129.6,657.76,19074.19088260492
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL032024,2024,07,08,12,120.24,464.34,20723.48498148704
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042003,2003,07,10,12,129.5,694.65,17846.5625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042003,2003,07,15,06,120.2,252.36,9342.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042003,2003,07,15,12,138.7,357.75,10856.5
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042003,2003,07,15,18,129.5,345.9,11173.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042005,2005,07,07,00,129.5,942.0,29851.75
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042005,2005,07,07,06,148.0,749.11,26501.3125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042005,2005,07,07,12,166.5,578.26,28092.75
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042005,2005,07,09,06,138.7,647.55,35127.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042005,2005,07,09,12,148.0,662.22,33812.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042005,2005,07,09,18,166.5,911.24,44607.8125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,16,06,129.5,429.76,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,16,12,148.0,403.46,0.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,16,18,148.0,568.2,1280.9375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,17,00,148.0,642.25,5306.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,17,06,148.0,801.82,18834.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,17,12,166.5,698.26,17737.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,21,18,138.7,800.39,40828.3125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,22,00,120.2,859.67,36157.1875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,22,06,129.5,714.61,36439.3125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,22,12,148.0,717.84,40879.3125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042007,2007,08,22,18,138.7,718.55,51487.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042008,2008,07,23,00,120.2,827.02,20456.9375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042008,2008,07,23,06,129.5,719.77,23176.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042008,2008,07,23,12,157.2,531.86,34178.1875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042008,2008,07,23,18,138.7,590.0,32034.6875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042008,2008,07,24,00,120.2,1222.73,29444.6875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,26,00,120.2,852.99,51920.9375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,26,06,120.2,639.18,41741.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,26,12,120.2,612.72,53086.3125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,26,18,120.2,790.13,45047.1875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,27,00,129.5,732.51,27949.9375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,27,06,129.5,541.76,24049.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,27,12,129.5,654.71,23483.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,27,18,120.2,690.69,16237.1875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,28,00,120.2,447.38,5211.375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042014,2014,08,28,06,120.2,674.65,6088.75
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042024,2024,08,05,06,129.6,744.86,43806.32879940013
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL042024,2024,08,05,12,120.24,665.06,42991.632298910525
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,14,00,129.5,838.31,11591.5625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,14,06,138.7,602.1,19571.1875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,14,12,157.2,521.78,12286.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,15,18,175.7,801.9,27012.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,18,12,120.2,662.81,20014.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,18,18,120.2,795.22,29732.6875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,19,00,138.7,823.78,29253.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,19,06,148.0,800.47,26848.5
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,19,12,148.0,589.61,41608.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,19,18,157.2,741.97,36910.375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052005,2005,07,20,18,129.5,594.17,33015.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052012,2012,08,07,12,120.2,903.19,28985.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052012,2012,08,07,18,138.7,854.8,35097.0625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052012,2012,08,08,00,148.0,773.38,45505.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052012,2012,08,08,06,148.0,803.97,33209.5
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052016,2016,08,03,18,120.2,653.95,33938.6875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052016,2016,08,04,00,129.5,826.65,48533.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052016,2016,08,04,06,138.7,852.39,45887.0
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,08,28,18,129.5,400.72,11026.75
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,08,29,00,138.7,391.36,7511.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,08,29,06,138.7,460.44,9139.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,08,29,12,138.7,339.88,10287.8125
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,08,29,18,138.7,589.74,13020.6875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,08,30,00,148.0,588.55,11667.625
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,08,30,06,166.5,567.24,11871.5
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,08,30,12,175.7,535.66,12344.875
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,09,03,18,175.7,486.74,24004.4375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,09,04,00,166.5,659.46,25343.9375
NA,North Atlantic,MIN_HUR,Minor Hurricane,AL052019,2019,09,04,06,166.5,666.35,25866.5
