basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TD,Tropical Depression,AL012000,2000,06,07,18,46.25,749.96,25007.6875
NA,North Atlantic,TD,Tropical Depression,AL012000,2000,06,08,00,46.25,755.68,20578.4375
NA,North Atlantic,TD,Tropical Depression,AL012000,2000,06,08,06,46.25,658.86,15935.1875
NA,North Atlantic,TD,Tropical Depression,AL012000,2000,06,08,12,46.25,666.72,17154.125
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,06,06,55.5,890.89,23839.4375
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,06,12,37.0,622.7,34661.0625
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,06,18,37.0,599.72,28234.25
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,07,00,37.0,741.21,15565.9375
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,07,06,37.0,671.67,16315.5625
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,07,12,37.0,403.62,18574.5
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,07,18,27.75,445.69,20825.0
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,08,00,27.75,1066.86,22318.3125
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,08,06,37.0,670.18,14612.0625
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,08,12,37.0,805.26,14944.25
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,08,18,37.0,721.88,17453.625
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,09,00,37.0,874.78,17721.1875
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,09,06,37.0,480.32,13965.125
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,09,12,37.0,420.13,16505.8125
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,09,18,37.0,623.31,14431.75
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,10,00,37.0,763.39,12037.1875
NA,North Atlantic,TD,Tropical Depression,AL012001,2001,06,10,06,46.25,784.56,18263.0625
