basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TS,Tropical Storm,AL012001,2001,06,05,12,74.0,528.34,23312.1875
NA,North Atlantic,TS,Tropical Storm,AL012001,2001,06,05,18,92.5,570.16,29236.0
NA,North Atlantic,TS,Tropical Storm,AL012001,2001,06,06,00,83.25,951.8,25670.3125
NA,North Atlantic,TS,Tropical Storm,AL012001,2001,06,11,06,64.75,389.38,15695.5625
NA,North Atlantic,TS,Tropical Storm,AL012001,2001,06,11,12,74.0,511.83,21452.1875
NA,North Atlantic,TS,Tropical Storm,AL012001,2001,06,11,18,64.75,755.26,17745.1875
NA,North Atlantic,TS,Tropical Storm,AL012004,2004,08,01,18,64.75,830.16,30660.4375
NA,North Atlantic,TS,Tropical Storm,AL012004,2004,08,02,00,64.75,932.45,19938.9375
NA,North Atlantic,TS,Tropical Storm,AL012004,2004,08,02,06,74.0,938.0,24158.3125
NA,North Atlantic,TS,Tropical Storm,AL012004,2004,08,02,12,92.5,838.19,30095.0625
NA,North Atlantic,TS,Tropical Storm,AL012004,2004,08,02,18,92.5,766.36,29483.875
NA,North Atlantic,TS,Tropical Storm,AL012004,2004,08,03,00,111.0,830.26,21335.0625
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,09,06,64.75,640.22,34039.75
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,09,12,64.75,991.55,42620.5
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,09,18,64.75,1035.67,44488.0625
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,10,00,74.0,812.14,23284.125
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,10,06,83.25,682.14,28092.6875
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,10,12,92.5,763.78,33500.625
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,10,18,101.7,725.28,29035.0
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,11,00,111.0,571.51,17280.1875
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,11,06,111.0,497.92,24062.1875
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,11,12,101.7,540.86,30096.125
NA,North Atlantic,TS,Tropical Storm,AL012005,2005,06,11,18,92.5,597.21,26484.875
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,11,00,64.75,889.92,30136.875
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,11,06,64.75,953.29,23969.375
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,11,12,74.0,931.49,28107.875
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,11,18,74.0,1052.72,24829.1875
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,12,00,74.0,840.83,22629.125
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,12,06,83.25,746.49,26670.0625
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,12,12,111.0,816.42,34138.75
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,12,18,111.0,878.64,39469.8125
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,13,00,111.0,1059.85,41982.375
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,13,06,101.7,1025.22,35239.9375
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,13,12,83.25,848.3,32333.8125
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,13,18,64.75,879.5,25910.875
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,14,00,64.75,812.97,21475.3125
NA,North Atlantic,TS,Tropical Storm,AL012006,2006,06,14,12,64.75,850.99,17818.5625
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,07,00,92.5,850.02,16258.6875
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,08,06,92.5,322.64,7020.0
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,08,12,92.5,366.56,8078.25
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,08,18,92.5,554.41,11471.375
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,09,00,92.5,623.75,15846.1875
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,09,06,92.5,807.61,33072.5
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,09,12,83.25,798.47,27043.6875
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,09,18,74.0,401.92,5607.25
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,10,00,74.0,344.96,3388.75
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,10,06,64.75,278.04,4340.0625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,05,31,00,64.75,803.98,32666.5625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,05,31,06,74.0,806.19,34008.0625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,05,31,12,64.75,829.29,37386.625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,05,31,18,64.75,899.86,46850.4375
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,06,01,00,64.75,788.22,39405.625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,06,01,06,64.75,719.22,38226.125
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,26,06,74.0,808.32,46877.5
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,26,12,74.0,859.1,62511.8125
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,26,18,101.7,906.12,72697.0
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,27,00,101.7,917.9,59842.4375
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,27,06,101.7,818.18,50925.9375
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,27,12,83.25,797.02,45914.1875
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,27,18,64.75,792.28,41639.9375
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,28,00,74.0,715.52,37186.375
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,28,06,74.0,904.52,46372.625
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,28,12,92.5,913.96,60688.375
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,28,18,92.5,866.82,56116.4375
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,29,00,101.7,905.75,54168.375
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,29,06,101.7,934.06,66836.0
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,29,12,111.0,949.06,64313.75
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,06,29,18,111.0,843.68,49196.75
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,07,01,12,111.0,949.96,63627.75
NA,North Atlantic,TS,Tropical Storm,AL012010,2010,07,01,18,74.0,941.91,59883.9375
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,28,18,64.75,773.62,45481.0
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,29,00,64.75,807.32,54153.625
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,29,06,64.75,904.46,58377.4375
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,29,12,83.25,716.88,46783.625
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,29,18,92.5,691.71,46282.4375
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,30,00,92.5,811.33,49786.8125
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,30,06,101.7,845.3,57907.3125
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,30,12,101.7,969.05,61515.625
NA,North Atlantic,TS,Tropical Storm,AL012011,2011,06,30,18,83.25,847.23,52303.4375
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,19,12,74.0,280.92,2504.5625
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,19,18,83.25,888.09,41173.0
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,20,00,92.5,1095.93,38869.5
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,20,06,83.25,1039.89,38484.5625
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,20,12,74.0,1107.61,53150.875
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,20,18,74.0,759.17,12125.5
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,21,00,64.75,824.18,6736.5625
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,21,06,64.75,369.67,9196.1875
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,21,12,64.75,429.29,7474.3125
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,21,18,64.75,709.58,6281.375
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,22,00,64.75,849.96,7408.3125
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,22,06,64.75,1127.97,17769.75
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,05,18,64.75,576.24,34013.3125
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,00,74.0,1015.99,44259.375
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,06,92.5,900.15,36909.6875
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,12,101.7,945.88,51037.875
